"","SciLifeID","Number","Complete_number","Alternative_number","ID","Biol_repl_ID","Sex","Type","Sampling","Tree","Batch","Date"
"134","totRNA-49","S11","S11_L001","","F1-04-10","F-04-10","F","WT","10-Apr",1,4,"04-10"
"55","totRNA-17","S28","S28_L004","","F1-08-18","F-08-18","F","WT","18-Aug",1,2,"08-18"
"13","P1387_113","","","1_150115_BC6L4PANXX","F1-09-12","F-09-12","F","WT","12-Sep",1,1,"09-12"
"15","P1387_115","","","1_150115_BC6L4PANXX","F1-10-08","F-10-08","F","WT","08-Oct",1,1,"10-08"
"66","A1","S1","S1_L001","","F1a-08-01","F-08-01","F","WT","01-Aug",1,3,"08-01"
"85","A16","S16","S16_L002","","F1a-08-19","F-08-19","F","WT","19-Aug",1,3,"08-19"
"92","A22","S22","S22_L002","","F1a-09-16","F-09-16","F","WT","16-Sep",1,3,"09-16"
"67","A2","S2","S2_L001","","F1b-08-01","F-08-01","F","WT","01-Aug",1,3,"08-01"
"87","A17","S1","S1_L001","","F1b-08-19","F-08-19","F","WT","19-Aug",1,4,"08-19"
"93","A23","S23","S23_L002","","F1b-09-16","F-09-16","F","WT","16-Sep",1,3,"09-16"
"68","A3","S3","S3_L001","","F1c-08-01","F-08-01","F","WT","01-Aug",1,3,"08-01"
"88","A18","S18","S18_L002","","F1c-08-19","F-08-19","F","WT","19-Aug",1,3,"08-19"
"94","A24","S24","S24_L002","","F1c-09-16","F-09-16","F","WT","16-Sep",1,3,"09-16"
"104","A37","S33","S33_L003","","F1d-08-01","F-08-01","F","WT","01-Aug",1,3,"08-01"
"16","P1387_116","","","1_150115_BC6L4PANXX","F2-09-12","F-09-12","F","WT","12-Sep",2,1,"09-12"
"11","P1387_111","","","1_150115_BC6L4PANXX","F2-10-08","F-10-08","F","WT","08-Oct",2,1,"10-08"
"52","totRNA-14","S31","S31_L004","","F3-08-18","F-08-18","F","WT","18-Aug",3,2,"08-18"
"22","P1387_122","","","1_150115_BC6L4PANXX","F3-09-12","F-09-12","F","WT","12-Sep",3,1,"09-12"
"12","P1387_112","","","1_150115_BC6L4PANXX","F3-10-08","F-10-08","F","WT","08-Oct",3,1,"10-08"
"14","P1387_114","","","1_150115_BC6L4PANXX","F4-09-12","F-09-12","F","WT","12-Sep",4,1,"09-12"
"17","P1387_117","","","1_150115_BC6L4PANXX","F4-10-08","F-10-08","F","WT","08-Oct",4,1,"10-08"
"18","P1387_118","","","1_150115_BC6L4PANXX","F5-09-12","F-09-12","F","WT","12-Sep",5,1,"09-12"
"21","P1387_121","","","1_150115_BC6L4PANXX","F5-10-08","F-10-08","F","WT","08-Oct",5,1,"10-08"
"132","totRNA-48","S10","S10_L001","","F7-04-29","F-04-29","F","WT","29-Apr",7,4,"04-29"
"124","B30","S46","S46_L004","","F8-04-10","F-04-10","F","WT","10-Apr",8,3,"04-10"
"111","B24","S36","S36_L003","","F8-04-29","F-04-29","F","WT","29-Apr",8,3,"04-29"
"127","B27","S49","S49_L004","","F9-04-10","F-04-10","F","WT","10-Apr",9,3,"04-10"
"115","B22","S3","S3_L001","","F9-04-29","F-04-29","F","WT","29-Apr",9,4,"04-29"
"81","A13","S13","S13_L001","","FA1a-08-01","FA-08-01","F","A","01-Aug",1,3,"08-01"
"98","A28","S27","S27_L003","","FA1a-10-18","FA-10-18","F","A","18-Oct",1,3,"10-18"
"82","A14","S14","S14_L002","","FA1b-08-01","FA-08-01","F","A","01-Aug",1,3,"08-01"
"99","A29","S28","S28_L003","","FA1b-10-18","FA-10-18","F","A","18-Oct",1,3,"10-18"
"84","A15","S15","S15_L002","","FA1c-08-01","FA-08-01","F","A","01-Aug",1,3,"08-01"
"100","A30","S29","S29_L003","","FA1c-10-18","FA-10-18","F","A","18-Oct",1,3,"10-18"
"58","totRNA-33","S39","S39_L004","","M1-04-10","M-04-10","M","WT","10-Apr",1,2,"04-10"
"62","totRNA-47","S27","S27_L004","","M1-08-18","M-08-18","M","WT","18-Aug",1,2,"08-18"
"1","P1387_101","","","1_150115_BC6L4PANXX","M1-09-12","M-09-12","M","WT","12-Sep",1,1,"09-12"
"2","P1387_102","","","1_150115_BC6L4PANXX","M1-10-08","M-10-08","M","WT","08-Oct",1,1,"10-08"
"106","A40","S4","S4_L001","","M1a-08-01","M-08-01","M","WT","01-Aug",1,4,"08-01"
"107","A41","S5","S5_L001","","M1b-08-01","M-08-01","M","WT","01-Aug",1,4,"08-01"
"108","A43","S6","S6_L001","","M1c-08-01","M-08-01","M","WT","01-Aug",1,4,"08-01"
"3","P1387_103","","","1_150115_BC6L4PANXX","M2-09-12","M-09-12","M","WT","12-Sep",2,1,"09-12"
"7","P1387_107","","","1_150115_BC6L4PANXX","M2-10-08","M-10-08","M","WT","08-Oct",2,1,"10-08"
"54","totRNA-16","S30","S30_L004","","M3-08-18","M-08-18","M","WT","18-Aug",3,2,"08-18"
"4","P1387_104","","","1_150115_BC6L4PANXX","M3-09-12","M-09-12","M","WT","12-Sep",3,1,"09-12"
"9","P1387_109","","","1_150115_BC6L4PANXX","M3-10-08","M-10-08","M","WT","08-Oct",3,1,"10-08"
"5","P1387_105","","","1_150115_BC6L4PANXX","M4-09-12","M-09-12","M","WT","12-Sep",4,1,"09-12"
"8","P1387_108","","","1_150115_BC6L4PANXX","M4-10-08","M-10-08","M","WT","08-Oct",4,1,"10-08"
"6","P1387_106","","","1_150115_BC6L4PANXX","M5-09-12","M-09-12","M","WT","12-Sep",5,1,"09-12"
"10","P1387_110","","","1_150115_BC6L4PANXX","M5-10-08","M-10-08","M","WT","08-Oct",5,1,"10-08"
"51","totRNA-10","S33","S33_L004","","M7-04-29","M-04-29","M","WT","29-Apr",7,2,"04-29"
"123","B32","S45","S45_L004","","M8-04-10","M-04-10","M","WT","10-Apr",8,3,"04-10"
"110","B23","S35","S35_L003","","M8-04-29","M-04-29","M","WT","29-Apr",8,3,"04-29"
"126","B28","S48","S48_L004","","M9-04-10","M-04-10","M","WT","10-Apr",9,3,"04-10"
"114","B26","S37","S37_L003","","M9-04-29","M-04-29","M","WT","29-Apr",9,3,"04-29"
"59","totRNA-34","S36","S36_L004","","O7-06-11","O-06-11","O","WT","11-Jun",7,2,"06-11"
"117","B36","S39","S39_L004","","O8-06-11","O-06-11","O","WT","11-Jun",8,3,"06-11"
"119","B38","S41","S41_L004","","O9-06-11","O-06-11","O","WT","11-Jun",9,3,"06-11"
"61","totRNA-40","S38","S38_L004","","P7-05-12","P-05-12","P","WT","12-May",7,2,"05-12"
"121","B41","S43","S43_L004","","P8-05-12","P-05-12","P","WT","12-May",8,3,"05-12"
"122","B42","S44","S44_L004","","P9-05-12","P-05-12","P","WT","12-May",9,3,"05-12"
"60","totRNA-35","S37","S37_L004","","S7-06-11","S-06-11","S","WT","11-Jun",7,2,"06-11"
"118","B37","S40","S40_L004","","S8-06-11","S-06-11","S","WT","11-Jun",8,3,"06-11"
"120","B39","S42","S42_L004","","S9-06-11","S-06-11","S","WT","11-Jun",9,3,"06-11"
"76","A10","S10","S10_L001","","TA1a-10-18","TA-10-18","T","A","18-Oct",1,3,"10-18"
"78","A11","S11","S11_L001","","TA1b-10-18","TA-10-18","T","A","18-Oct",1,3,"10-18"
"80","A12","S12","S12_L001","","TA1c-10-18","TA-10-18","T","A","18-Oct",1,3,"10-18"
"72","A7","S7","S7_L001","","TL1a-08-01","TL -08-01","TL","A","01-Aug",1,3,"08-01"
"73","A8","S8","S8_L001","","TL1b-08-01","TL -08-01","TL","A","01-Aug",1,3,"08-01"
"75","A9","S1","S1_L001","","TL1c-08-01","TL -08-01","TL","A","01-Aug",1,4,"08-01"
"135","totRNA-50","S12","S12_L001","","V1-04-10","V-04-10","V","WT","10-Apr",1,4,"04-10"
"53","totRNA-15","S29","S29_L004","","V1-08-18","V-08-18","V","WT","18-Aug",1,2,"08-18"
"25","P1387_125","","","1_150115_BC6L4PANXX","V1-10-08","V-10-08","V","WT","08-Oct",1,1,"10-08"
"24","P1387_124","","","1_150115_BC6L4PANXX","V2-10-08","V-10-08","V","WT","08-Oct",2,1,"10-08"
"56","totRNA-18","S32","S32_L004","","V3-08-18","V-08-18","V","WT","18-Aug",3,2,"08-18"
"23","P1387_123","","","1_150115_BC6L4PANXX","V3-10-08","V-10-08","V","WT","08-Oct",3,1,"10-08"
"19","P1387_119","","","1_150115_BC6L4PANXX","V4-10-08","V-10-08","V","WT","08-Oct",4,1,"10-08"
"20","P1387_120","","","1_150115_BC6L4PANXX","V5-10-08","V-10-08","V","WT","08-Oct",5,1,"10-08"
"57","totRNA-2","S35","S35_L004","","V7-04-29","V-04-29","V","WT","29-Apr",7,2,"04-29"
"125","B51","S47","S47_L004","","V8-04-10","V-04-10","V","WT","10-Apr",8,3,"04-10"
"113","B8","S2","S2_L001","","V8-04-29","V-04-29","V","WT","29-Apr",8,4,"04-29"
"128","B7","S17","S17_L002","","V9-04-10","V-04-10","V","WT","10-Apr",9,3,"04-10"
"116","B5","S38","S38_L004","","V9-04-29","V-04-29","V","WT","29-Apr",9,3,"04-29"
"69","A4","S4","S4_L001","","VL1a-08-01","VL-08-01","VL","WT","01-Aug",1,3,"08-01"
"89","A19","S19","S19_L002","","VL1a-08-19","VL-08-19","VL","WT","19-Aug",1,3,"08-19"
"96","A25","S25","S25_L002","","VL1a-09-16","VL-09-16","VL","WT","16-Sep",1,3,"09-16"
"101","A34","S30","S30_L003","","VL1a-10-25","VL-10-25","VL","WT","25-Oct",1,3,"10-25"
"70","A5","S5","S5_L001","","VL1b-08-01","VL-08-01","VL","WT","01-Aug",1,3,"08-01"
"90","A20","S20","S20_L002","","VL1b-08-19","VL-08-19","VL","WT","19-Aug",1,3,"08-19"
"97","A26","S26","S26_L003","","VL1b-09-16","VL-09-16","VL","WT","16-Sep",1,3,"09-16"
"102","A35","S31","S31_L003","","VL1b-10-25","VL-10-25","VL","WT","25-Oct",1,3,"10-25"
"71","A6","S6","S6_L001","","VL1c-08-01","VL-08-01","VL","WT","01-Aug",1,3,"08-01"
"91","A21","S21","S21_L002","","VL1c-08-19","VL-08-19","VL","WT","19-Aug",1,3,"08-19"
"103","A36","S32","S32_L003","","VL1c-10-25","VL-10-25","VL","WT","25-Oct",1,3,"10-25"
"105","A38","S34","S34_L003","","VL1d-08-01","VL-08-01","VL","WT","01-Aug",1,3,"08-01"
